theme,url,img
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524
LIVE LIFE,/inspirational-quotes/7384-find-life-experiences-and-swallow-them-whole,https://assets.passiton.com/quotes/quote_artwork/7384/medium/20210226_friday_quote.jpg?1613752730
LIVE LIFE,/inspirational-quotes/4250-do-not-let-making-a-living-prevent-you-from,https://assets.passiton.com/quotes/quote_artwork/4250/medium/20210225_thursday_quote.jpg?1613752695
LIVE LIFE,/inspirational-quotes/6746-you-have-brains-in-your-head-you-have-feet-in,https://assets.passiton.com/quotes/quote_artwork/6746/medium/20210224_wednesday_quote.jpg?1613752671
LIVE LIFE,/inspirational-quotes/6525-the-person-who-has-lived-the-most-is-not-the,https://assets.passiton.com/quotes/quote_artwork/6525/medium/20210223_tuesday_quote.jpg?1613752634
LIVE LIFE,/inspirational-quotes/8191-life-itself-is-a-privilege-but-to-live-life-to,https://assets.passiton.com/quotes/quote_artwork/8191/medium/20210222_monday_quote.jpg?1613752607
LOVE,/inspirational-quotes/7593-your-circumstance-doesn-t-make-life,https://assets.passiton.com/quotes/quote_artwork/7593/medium/20210219_friday_quote.jpg?1613084230
LOVE,/inspirational-quotes/6952-and-still-after-all-this-time-the-sun-has,https://assets.passiton.com/quotes/quote_artwork/6952/medium/20210218_thursday_quote.jpg?1613084201
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20210217_wednesday_quote.jpg?1613084162
LOVE,/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20210216_tuesday_quote.jpg?1613084126
